"id","especie","altura","circ_tronco_cm","diametro_tronco","seccion","nombre_seccion","inclinacion_peligrosa"
43494,"Morera","Bajo (2 - 4 mts)",42,"Mediano",3,"Parque O'Higgins",0
26606,"Ligustro","Muy bajo (1 - 2 mts)",8,"Chico",3,"Parque O'Higgins",0
40277,"Olmo comun","Bajo (2 - 4 mts)",84,"Grande",1,"Parque Central",0
26866,"Fresno europeo","Muy bajo (1 - 2 mts)",4,"Chico",3,"Parque O'Higgins",0
40713,"Pltano","Alto (> 8 mts)",160,"Grande",1,"Parque Central",0
4209,"Paraiso","Alto (> 8 mts)",200,"Grande",4,"Cuarta Oeste",0
4629,"Prunas","Medio (4 - 8 mts)",63,"Grande",4,"Cuarta Oeste",0
41929,"Paraiso","Medio (4 - 8 mts)",134,"Grande",1,"Parque Central",0
30883,"Paraiso","Alto (> 8 mts)",90,"Grande",6,"Residencial Norte",0
18557,"Paraiso","Alto (> 8 mts)",102,"Grande",4,"Cuarta Oeste",0
1743,"Conifera","Medio (4 - 8 mts)",55,"Mediano",7,"Residencial Parque",0
16204,"Morera","Alto (> 8 mts)",220,"Grande",4,"Cuarta Oeste",0
44270,"Pltano","Alto (> 8 mts)",220,"Grande",3,"Parque O'Higgins",0
4105,"Fresno europeo","Muy bajo (1 - 2 mts)",18,"Chico",1,"Parque Central",0
42843,"Fresno europeo","Medio (4 - 8 mts)",40,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
3106,"Fresno europeo","Bajo (2 - 4 mts)",30,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
14538,"Paraiso","Bajo (2 - 4 mts)",40,"Mediano",8,"Aeroparque",0
30007,"Fresno americano","Alto (> 8 mts)",140,"Grande",3,"Parque O'Higgins",0
132,"Paraiso sombrilla","Medio (4 - 8 mts)",100,"Grande",6,"Residencial Norte",0
34000,"Pltano","Medio (4 - 8 mts)",120,"Grande",5,"Residencial Sur",0
30882,"Paraiso","Medio (4 - 8 mts)",42,"Mediano",6,"Residencial Norte",0
869,"Aguaribay","Medio (4 - 8 mts)",140,"Grande",8,"Aeroparque",0
8608,"Fresno europeo","Medio (4 - 8 mts)",23,"Mediano",2,"Barrio Civico",0
21819,"Caducifolio","Muy bajo (1 - 2 mts)",15,"Chico",5,"Residencial Sur",0
3115,"Fresno americano","Medio (4 - 8 mts)",25,"Mediano",4,"Cuarta Este 햨rea Fundacional",0
15448,"Paraiso","Bajo (2 - 4 mts)",18,"Chico",6,"Residencial Norte",0
4663,"Paraiso","Medio (4 - 8 mts)",45,"Mediano",4,"Cuarta Oeste",0
31772,"Pltano","Medio (4 - 8 mts)",115,"Grande",5,"Residencial Sur",0
23900,"Pltano","Alto (> 8 mts)",210,"Grande",2,"Barrio Civico",0
10362,"Paraiso","Alto (> 8 mts)",163,"Grande",6,"Residencial Norte",0
38570,"Paraiso","Alto (> 8 mts)",300,"Grande",6,"Residencial Norte",0
29885,"Morera","Medio (4 - 8 mts)",22,"Mediano",2,"Barrio Civico",0
44188,"Fresno europeo","Bajo (2 - 4 mts)",18,"Chico",3,"Parque O'Higgins",0
41863,"Conifera","Alto (> 8 mts)",80,"Grande",1,"Parque Central",0
36442,"Morera","Alto (> 8 mts)",111,"Grande",6,"Residencial Norte",0
